% ID         RA        Dec     Ebv   Gal Long  Gal Lat   Ecl Long  Ecl Lat   Entry 
000299   30.19764   -4.75740   0.02  162.4567  -62.1827   26.3646  -15.9906    299 
000300   32.71411   -4.75740   0.02  166.6800  -60.6941   28.8102  -16.8777    300 
000301   35.23058   -4.75740   0.02  170.5271  -59.0915   31.2753  -17.7442    301 
000302   37.74705   -4.75740   0.02  174.0322  -57.3919   33.7607  -18.5882    302 
000303   40.26352   -4.75740   0.02  177.2307  -55.6100   36.2673  -19.4080    303 
000304   42.77999   -4.75740   0.03  180.1572  -53.7582   38.7958  -20.2017    304 
000305   45.29646   -4.75740   0.06  182.8439  -51.8470   41.3467  -20.9677    305 
000306   47.81293   -4.75740   0.08  185.3198  -49.8852   43.9203  -21.7041    306 
000307   50.32940   -4.75740   0.03  187.6111  -47.8802   46.5171  -22.4092    307 
000308   52.84587   -4.75740   0.03  189.7406  -45.8382   49.1370  -23.0812    308 
000309   55.36234   -4.75740   0.04  191.7286  -43.7645   51.7799  -23.7184    309 
000310   57.87881   -4.75740   0.12  193.5927  -41.6635   54.4455  -24.3192    310 
000311   60.39528   -4.75740    0.1  195.3483  -39.5391   57.1334  -24.8820    311 
000312   62.91175   -4.75740   0.04  197.0089  -37.3945   59.8428  -25.4052    312 
000313   65.42822   -4.75740   0.03  198.5863  -35.2326   62.5728  -25.8872    313 
000314   67.94469   -4.75740   0.03  200.0909  -33.0557   65.3223  -26.3269    314 
000315   70.46116   -4.75740   0.04  201.5320  -30.8660   68.0901  -26.7227    315 
000316   72.97763   -4.75740   0.03  202.9176  -28.6654   70.8745  -27.0735    316 
000317   75.49409   -4.75740   0.07  204.2550  -26.4555   73.6739  -27.3783    317 
000318   78.01056   -4.75740   0.11  205.5508  -24.2379   76.4865  -27.6360    318 
000319   80.52703   -4.75740   0.21  206.8109  -22.0138   79.3101  -27.8458    319 
000320   83.04350   -4.75740   0.32  208.0406  -19.7846   82.1426  -28.0071    320 
000321   85.55997   -4.75740   0.68  209.2448  -17.5513   84.9817  -28.1194    321 
000322   88.07644   -4.75740   0.39  210.4281  -15.3149   87.8251  -28.1822    322 
000323   90.59291   -4.75740   0.48  211.5947  -13.0766   90.6704  -28.1953    323 
